IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_JTOWN,THICK_JTOWN,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY,TOP_DEKOVEN,THICK_DEKOVEN,TOP_LWRDEK,THICK_LWRDEK,TOP_DAVIS,THICK_DAVIS
02300002000C,CLARK,-87.603799,39.238093,451,Oil and Gas Test,Electric Log,95,5,-141,,-191,6,,,,,,
02300003000C,CLARK,-87.618229,39.19995,441,Oil and Gas Test,Electric Log,95,5,-125,,-179,,,,,,,
02300062000C,CLARK,-87.988525,39.189809,595,Oil and Gas Test,Electric Log,180,4,-1,,-29,5,,,,,,
02300065000C,CLARK,-87.987312,39.187107,594,Oil and Gas Test,Electric Log,183,2.5,-2,,-31,4,,,,,,
02300072000C,CLARK,-87.612305,39.33821,537,Oil and Gas Test,Electric Log,,,-139,,-168,6,,,,,,
02300087000C,CLARK,-87.88573,39.29806,590,Oil and Gas Test,Electric Log,,,270,,225,3,,,,,,
02300194000C,CLARK,-87.68309,39.376295,610,Coal Test,Survey Core Study,,,,,-111,3.1,,,,,,
02300238000C,CLARK,-87.989348,39.418183,678,Oil and Gas Test,Electric Log,,,462,,,,,,,,,
02300518000C,CLARK,-87.941667,39.215135,594,Oil and Gas Test,Electric Log,290,1.5,128,,101,3,,,,,,
02300522000C,CLARK,-87.99995,39.182223,585,Oil and Gas Test,Electric Log,179,4.5,-2,,-25,4,,,,,,
02300543000C,CLARK,-87.997518,39.176805,589,Oil and Gas Test,Electric Log,183,4,-2,,-32,4,,,,,,
02300551000C,CLARK,-87.995229,39.17685,583,Oil and Gas Test,Electric Log,173,,-17,,-48,2.5,,,,,,
02300565000C,CLARK,-87.764406,39.245172,594,Oil and Gas Test,Nuclear Log,-25,6.5,-226,,,,,,,,,
02300611000C,CLARK,-87.892715,39.271088,591,Producer-Oil and Gas,Electric Log,,,284,0,246,3,,,,,,
02300618000C,CLARK,-87.936384,39.233657,602,Oil and Gas Test,Electric Log,395,2,240,,215,4,,,,,,
02300639000C,CLARK,-87.581565,39.252218,450,Oil and Gas Test,Electric Log,126,3,-96,,-156,2,,,,,,
02300640000C,CLARK,-87.584823,39.238403,450,Oil and Gas Test,Electric Log,122,5,-102,,-162,6,,,,,,
02300641000C,CLARK,-87.599376,39.214433,453,Oil and Gas Test,Electric Log,99,3.5,-129,,-186,5,,,,,,
02300643000C,CLARK,-87.77294,39.216769,585,Oil and Gas Test,Electric Log,-3,3,,,-239,6,,,,,,
02300645000C,CLARK,-87.767278,39.185223,561,Oil and Gas Test,Electric Log,9,3,-211,,-261,4,,,,,,
02300662000C,CLARK,-87.792242,39.230134,604,Oil and Gas Test,Electric Log,2,3,-200,,,,,,,,,
02300666000C,CLARK,-87.815914,39.231279,603,Producer-Oil and Gas,Electric Log,-17.5,4,-221,,-269.5,8.5,,,,,,
02300670000C,CLARK,-87.7988,39.21354,603,Oil and Gas Test,Electric Log,17,4,-201,,-239,6,,,,,,
02300673000C,CLARK,-87.786795,39.206575,605,Oil and Gas Test,Electric Log,9,3,-213,,-262,7,,,,,,
02300773000C,CLARK,-87.611139,39.338186,541,Oil and Gas Test,Electric Log,,,-129,,-163,5.5,,,,,,
02300774000C,CLARK,-87.620496,39.340101,539,Oil and Gas Test,Electric Log,,,-141,,-171,5.5,,,,,,
02300775000C,CLARK,-87.655656,39.290953,537,Oil and Gas Test,Electric Log,,,-105,,-166,3.5,,,,,,
02300776000C,CLARK,-87.611282,39.299782,468,Oil and Gas Test,Electric Log,,,-127,,,,,,,,,
02300777000C,CLARK,-87.604086,39.292509,450,Oil and Gas Test,Electric Log,,,-80,,-142,3.5,,,,,,
02300778000C,CLARK,-87.620638,39.280066,470,Oil and Gas Test,Electric Log,,,-132,,,,,,,,,
02300779000C,CLARK,-87.639341,39.272836,455,Oil and Gas Test,Electric Log,89,3,-140,,-205,4,,,,,,
02300781000C,CLARK,-87.891186,39.29908,571,Oil and Gas Test,Electric Log,384,,,,209,3,,,,,,
02300782000C,CLARK,-87.879754,39.299267,594,Oil and Gas Test,Electric Log,388,,262,,,,,,,,,
02300783000C,CLARK,-87.873823,39.299301,613,Oil and Gas Test,Electric Log,363,,234,,193,5,,,,,,
02300784000C,CLARK,-87.803536,39.284492,604,Oil and Gas Test,Electric Log,21,3,-146,,-216,,,,,,,
02300795000C,CLARK,-87.89362,39.275971,576,Oil and Gas Test,Electric Log,,,274,,237,3,,,,,,
02300798000C,CLARK,-88.010157,39.331368,645,Oil and Gas Test,Electric Log,,,105,,69,4,,,,,,
02300800000C,CLARK,-87.618084,39.269238,456,Oil and Gas Test,Electric Log,66,,-161,,-225,5,,,,,,
02300801000C,CLARK,-87.728492,39.262199,582,Oil and Gas Test,Electric Log,0,3.5,,,-266,5.5,,,,,,
02300804000C,CLARK,-87.622683,39.316457,527,Oil and Gas Test,Electric Log,,,-119,,-158,,,,,,,
02300814000C,CLARK,-87.541274,39.424401,514,Oil and Gas Test,Electric Log,,,,,7,4.5,,,,,,
02300815000C,CLARK,-87.569608,39.41077,561,Oil and Gas Test,Electric Log,,,-4,,-31,3.5,,,,,,
02300816000C,CLARK,-87.543636,39.412794,503,Oil and Gas Test,Electric Log,,,49,,,,,,,,,
02300817000C,CLARK,-87.548282,39.396308,546,Oil and Gas Test,Electric Log,,,56,,,,,,,,,
02300818000C,CLARK,-87.548317,39.401717,552,Oil and Gas Test,Electric Log,,,58,,-2,4,,,,,,
02300819000C,CLARK,-87.541189,39.398147,548,Oil and Gas Test,Electric Log,,,44,,-2,4.5,,,,,,
02300820000C,CLARK,-87.547062,39.390912,542,Oil and Gas Test,Electric Log,,,66,,,,,,,,,
02300822000C,CLARK,-87.555294,39.376401,549,Oil and Gas Test,Electric Log,,,45,,,,,,,,,
02300823000C,CLARK,-87.56004,39.38,551,Oil and Gas Test,Electric Log,,,52,,,,,,,,,
02300830000C,CLARK,-87.54823,39.381867,545,Oil and Gas Test,Electric Log,,,58,,,,,,,,,
